timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1648731444227,347,GetById,204,No Content,Web Service Employee 1-2,,true,,115,152,2,2,https://localhost:44322/api/Employee/GetEmployeeById?Id=,0,0,201
1648731442405,2168,GetById,204,No Content,Web Service Employee 1-1,,true,,115,152,2,2,https://localhost:44322/api/Employee/GetEmployeeById?Id=,0,0,2022
1648731444577,10,GetEmployeeDetails,204,No Content,Web Service Employee 1-1,,true,,115,161,2,2,https://localhost:44322/api/Employee/GetEmployeeDetails?Name=fira,0,0,0
1648731444577,11,GetEmployeeDetails,204,No Content,Web Service Employee 1-2,,true,,115,161,2,2,https://localhost:44322/api/Employee/GetEmployeeDetails?Name=fira,0,0,0
1648731444588,6,GetById,204,No Content,Web Service Employee 1-1,,true,,115,152,2,2,https://localhost:44322/api/Employee/GetEmployeeById?Id=,0,0,0
1648731444589,9,GetById,204,No Content,Web Service Employee 1-2,,true,,115,152,2,2,https://localhost:44322/api/Employee/GetEmployeeById?Id=,0,0,0
1648731444595,8,GetEmployeeDetails,204,No Content,Web Service Employee 1-1,,true,,115,161,2,2,https://localhost:44322/api/Employee/GetEmployeeDetails?Name=fira,0,0,0
1648731444599,15,GetEmployeeDetails,204,No Content,Web Service Employee 1-2,,true,,115,161,2,2,https://localhost:44322/api/Employee/GetEmployeeDetails?Name=fira,0,0,0
1648731444604,11,GetById,204,No Content,Web Service Employee 1-1,,true,,115,152,2,2,https://localhost:44322/api/Employee/GetEmployeeById?Id=,0,0,0
1648731444615,11,GetById,204,No Content,Web Service Employee 1-2,,true,,115,152,2,2,https://localhost:44322/api/Employee/GetEmployeeById?Id=,0,0,0
1648731444615,12,GetEmployeeDetails,204,No Content,Web Service Employee 1-1,,true,,115,161,2,2,https://localhost:44322/api/Employee/GetEmployeeDetails?Name=fira,0,0,0
1648731444627,6,GetEmployeeDetails,204,No Content,Web Service Employee 1-2,,true,,115,161,2,2,https://localhost:44322/api/Employee/GetEmployeeDetails?Name=fira,0,0,0
1648731444627,7,GetById,204,No Content,Web Service Employee 1-1,,true,,115,152,2,2,https://localhost:44322/api/Employee/GetEmployeeById?Id=,0,0,0
1648731444634,6,GetById,204,No Content,Web Service Employee 1-2,,true,,115,152,2,2,https://localhost:44322/api/Employee/GetEmployeeById?Id=,0,0,0
